city,temperature,wind_speed,wind_direction,feels_like
Mumbai,29.9,18.2,321,27.9
Pune,35.6,8.0,350,33.6
Delhi,38.9,6.5,289,36.9
Bangalore,34.6,11.4,108,32.6
Chennai,32.9,10.8,150,30.9
Kolkata,33.9,8.0,198,31.9
Hyderabad,32.6,4.8,312,30.6
Jaipur,37.7,9.4,266,35.7
